Itinerario;ID;Livello;Genitore;Titolo;Sottotitolo; Testo_storia;Testo_Audio_Cicerone;Immagine;Tipo_Card;latitudine;longitudine;mappaCartella
Velletri_dintorni;5,2,2,2;Opera;5,2,2;Chiostro;;"Un chiostro unico

La vera perla è il chiostro, intorno a cui si sviluppa tutta la struttura. Non perdetevi il ciclo di 27 capitelli marmorei al piano superiore, tutti diversi tra loro, che esibiscono una serie di immagini e simboli complessi. E l’effetto doveva essere ancor più stupefacente in origine, quando i capitelli erano colorati. A realizzarlo fu Antonio da Como nel 1480, come raccontano le iscrizioni sulle colonne. Proprio l’origine lombarda dell’artista ha reso il chiostro di Cori diverso da qualunque altro nella zona (quasi tutti sono di maestri toscani e hanno capitelli tutti uguali). Modernissima per l’epoca è anche la soluzione d’angolo: un pilastro quadrato con addossate due semicolonne.

Il portico al pian terreno, invece, ha capitelli ionici ed è stato affrescato nel 1600 circa da Gerolamo da Segni con immagini della vita dei patroni dell’ordine agostiniano: S. Agostino, S. Monica e S. Nicola da Tolentino.

Lo stemma del committente, il cardinale Guillaume d’Estouteville, campeggia sulla porta d’ingresso del chiostro e sulle tre colonne centrali del secondo ordine.

Il convento agostiniano

Il convento agostiniano si sviluppa intorno al chiostro, su due ordini. Al piano terra erano la sagrestia e la sala capitolare, mentre al piano superiore le stanze degli eremiti, il refettorio e, sopra la chiesa di S. Oliva, l’appartamento cardinalizio. Nella sala capitolare, le immagini della Crocifissione tra la Madonna e S. Agostino e di S. Oliva tra S. Nicola di Tolentino e S. Monica (fine Quattrocento) sono dello stesso maestro che dipinse l’abside della cappella del Crocefisso, forse Desiderio da Subiaco.

L’intera struttura del convento e del chiostro fu voluta da Ambrogio Massari, generale degli Agostiniani di origine corese, e dal cardinale Guillaume d’Estouteville, vescovo di Ostia e Velletri e protettore dell’ordine. Nel 1455, Massari la affidò agli Agostiniani, che vi restarono fino al 1845. Quando il convento fu soppresso, decadde anche la festa di S. Oliva, che fino al XVII secolo era stata la più importante di Cori. La festa cadeva la prima domenica di agosto e prevedeva la corsa dei palii e una fiera di bestiame che durava otto giorni.";;immagini/cori_chiostro.webp;Dettaglio;;;
Velletri_dintorni;5,2,3;Monumento;5,2;Cori a Valle le Mura;;"Passeggiando per le strade del centro storico, capita spesso di imbattersi in tratti della cinta muraria, o mura ciclopiche, come le chiamano tutti a Cori. Secondo una leggenda medievale, infatti, quelle pareti di massi enormi non potevano essere opera dell’uomo. Certo dovevano averle costruite i Ciclopi, e qualcuno giurava perfino di averli visti.

Le mura comprendono una cinta esterna, per la difesa, e terrazzamenti interni, necessari per costruire sul terreno scosceso della collina. Furono innalzate in epoche diverse, che si distinguono per la precisione con cui i massi sono incastrati tra loro. La cinta difensiva esterna, senza torri, fu edificata a cavallo tra VI e V sec. a.C., all’epoca dell’invasione dei Volsci. Tra i punti in cui si vedono meglio, via Don Minzoni, poco sopra S. Oliva, via Pelasga, via della Repubblica (Le piètre), piazza Pozzo Dorico. Le torri difensive

Nel II sec. a.C. furono aggiunte le torri difensive semicircolari, che si vedono ancora qua e là. La meglio conservata si ammira da piazza Signina, ma ce ne sono altre, per esempio a piazza della Croce e lungo via dei Lavoratori. Nel Medioevo a queste si aggiunsero le cosiddette “case-torri” quadrangolari: sparse nel tessuto urbano, servivano a controllare la viabilità ed erano abitate. Ne è un esempio la torre che si trova su via Accrocca, vicino a piazza della Croce.";;immagini/cori_mura.webp;Dettaglio;;;
Velletri_dintorni;5,2,4;Monumento;5,2;Via del Porticato;Sippòrtica;"Porta Ninfina

Uno dei tre accessi principali alla città, insieme a porta Signina e porta Romana, porta Ninfina sorge sull’antica via per Ninfa, appunto, ed è l’unico dei tre ingressi che abbia conservato resti dell’aspetto originario. La porta è stata distrutta durante la Seconda Guerra Mondiale. Quella attuale è una ricostruzione realizzata nel 1984, in occasione del Carosello storico dei Rioni di quell’anno. Tuttavia, le basi su cui poggia fanno parte della cinta difensiva originale, eretta a cavallo tra VI e V sec. a.C..

Notate la posizione della porta, orientata in modo da avere le mura alla sua sinistra: è l’impianto tipico delle cosiddette porte “scee”, progettate per attaccare i nemici sul fianco destro, dove non avevano lo scudo.

 

Via del Porticato:

Si chiama via del Porticato, ma a Cori tutti la chiamano “le Sippòrtica”, questa via coperta che ripercorre un tratto dell’antica cinta muraria. Affacciandosi ai suoi finestroni, ci si sente un po’ come i guerrieri di una volta, che da qui attaccavano i nemici assiepati proprio lì sotto, davanti a porta Ninfina.

La via del Porticato, che poggia su uno dei tratti più antichi del circuito murario, ospitava botteghe, taverne, locande e uffici destinati ad accogliere viaggiatori e merci che entravano a Cori attraverso la porta. Il primo tratto fu coperto da torri e abitazioni in epoca medievale (XII-XIII sec.). Il porticato fu completato nel XVII sec., quando sorse anche il palazzo signorile soprastante, palazzo Chiari (l’ingresso è a metà del porticato).

 

Lo scoglio:

In cima alla via del Porticato, sulla sinistra salendo, si apre un vicoletto che per la sua ripidità sfida anche i più sportivi: non a caso, i coresi lo chiamano “Lo scoglio”. ";;immagini/cori_porticato.webp;Dettaglio;;;
Velletri_dintorni;5,2,5;Monumento;5,2;Ponte della catena;;"Il ponte:
Unico ponte di epoca romana ancora visibile, il ponte della Catena (IV-I sec. a.C.) attraversa un fossato che in origine costeggiava questo lato di Cori. L’arco a tutto sesto, in tufo, poggia su basi in calcare posate direttamente sulla roccia. In passato doveva essere molto più profondo e imponente, ma in seguito a recenti lavori di consolidamento la distanza tra il ponte e l’alveo del fosso si è molto ridotta.                                                                 Saròcco:
Vale la pena di avventurarsi per qualche centinaio di metri oltre il ponte. Qui sorge un nucleo di case e depositi del XVI-XVII sec., unico esempio di abitato fuori dalle mura di Cori prima dei tempi moderni. Per questo si è ipotizzato che fosse destinato a mercanti che, non avendo la cittadinanza corese, non potevano risiedere entro le mura. La chiesa di S. Maria della Pace, di cui si vedono i resti lungo via Madonna delle Grazie, è solo una delle almeno cinque chiese che un tempo dovevano sorgere in quest’area, nota ai coresi come “Saròcco” (S. Rocco). Secondo gli antichi statuti cittadini, è qui che si correvano i palii in onore della patrona S. Oliva. Ora, potete godervi il meritato riposo su una panchina, davanti a una visuale impagabile sulla città medievale.";;immagini/cori_ponte.webp;Dettaglio;;;
Velletri_dintorni;5,3;Paese;5;Giardino di Ninfa;;"Nel XVI secolo, e precisamente nel 1578, il cardinale Nicolò III Caetani, amante della botanica, volle creare a Ninfa un “giardino delle delizie“ e incaricò l’architetto Francesco Capriani da Volterra: fece realizzare, accanto alla rocca medievale, un Hortus Conclusus: un giardino delimitato da mura con impianto regolare, coltivandovi pregiate varietà di agrumi, fra cui il Citrus Cajetani. Nel XVII secolo anche il Duca Francesco IV, “buono al governo dei fiori”, si occupò dell’Hortus Conclusus ma ben presto la malaria costrinse anche lui ad abbandonare Ninfa. Della sua opera rimangono le polle d’acqua e le fontane. L’ultima erede e giardiniera fu Lelia, figlia di Marguerite e Roffredo Caetani. Donna sensibile e delicata, curò il giardino come un grande quadro, essendo lei una pittrice, accostando colori e assecondando il naturale sviluppo delle piante, senza forzature, ed evitando l’uso di sostanze inquinanti. Insieme alla madre Marguerite, introdusse numerose magnolie, prunus, rose e numerosissime altre specie e varietà di arbusti ed alberi; e realizzò il Rock Garden, chiamato anche “Colletto”.";;immagini/ninfa.webp;Principale;41,582275;12,955354;mappe-offline/Velletri_dintorni
Velletri_dintorni;INF5,3;Info / Contatto;5,3;Giardino di Ninfa;;"📍 Indirizzo:Via Provinciale Ninfina 68<br>📞 Tel. 0773 1880 888<br>🕒 Orari:Venerdì 14:00 - 18:00
Sabato, Domenica e festivi 9:00 - 18:00<br>🌐 Sito web:https://www.giardinodininfa.eu                                    Prenotazione. Costo biglietto 20.75€          ";;;Info / Contatto;;;
Velletri_dintorni;5,4;Paese;5;Abbazia Valvisciolo;Sermoneta;;;;Principale;41,567778;12,981111;mappe-offline/Velletri_dintorni
Velletri_dintorni;INF5.5,4;Info / Contatto;5,4;Abbazia;;"📍 Indirizzo:Via Badia 14<br>📞 Tel.  077330013<br>🕒 Orari:tutti i giorni 9.00 - 12.00 15.00 - 19.00<br>🌐 Sito web:https://comune.sermoneta.latina.it/vivere-il-comune/luoghi/abbazia-di-valvisciolo/#indirizzo 
Ingresso libero     ";;;Info / Contatto;;;
Velletri_dintorni;5,4,1;Monumento;5,4;Abbazia  Valvisciolo;;E’ dedicata al protomartire Santo Stefano. La Storia di questo monastero è complessa. Anche il nome nasconde una parte di mistero. Valvisciolo può significare Valle dell’Usignolo (vallis lusciniae) o Valle delle Visciole (una varietà di ciliegie selvatiche). E’ assodato che in origine il nome individuasse un altro monastero cistercense, in territorio di Carpineto Romano, del quale oggi rimangono scarsi ruderi. All’inizio del secolo XIV i monaci di Carpineto abbandonarono i loro monti e si trasferirono nel nuovo monastero al quale attribuirono l’avito nome di Valvisciolo. La tradizione vuole che il primo insediamento monastico in questa zona avvenisse ad opera dei monaci basiliani di San Nilo. Sempre secondo la tradizione, il monastero fu abitato dai Cavalieri Templari che vi rimasero fino alla soppressione del loro ordine ai primi del XIV secolo. L’intero complesso è costituito dalla Chiesa, dalla Sala Capitolare, dal Refettorio e dal Chiostro, che rappresenta il centro del complesso e la parte più elegante di Valvisciolo.;;immagini/valvisciolo_abbazia.webp;Dettaglio;;;
Velletri_dintorni;5,4,1,1;Opera;5,4,1;Chiesa;;" L’elegante facciata a salienti ospita un solo portale, privo di ornato, la cui lunetta conserva ancora pochi resti pittorici di una Vergine con Bambino, Santo Stefano e San Pietro. Il prospetto è impreziosito, nella parte superiore, da un grande rosone circolare, racchiuso in una cornice con modanatura concava. La rosa è costituita da una raggiera di dodici colonne che convergono verso una croce centrale. 
Gli spazi interni della chiesa, a pianta basilicale senza transetto, rivelano influssi dello stile gotico d’oltralpe, di cui i Cistercensi si fecero promotori anche in Italia. La volumetria è scandita dai pilastri rettangolari e dagli archi trasversi a sesto acuto che separano le tre navate, di cinque campate ciascuna. Sulla navata centrale si affaccia il cleristorio, con un solo ordine di monofore. L’area presbiteriale, suddivisa in due campate, è introdotta da uno slanciato arco che accentua il verticalismo della struttura. Tutto l’edificio è modulato sulla figura geometrica del quadrato: simbolo di armonia e perfezione del creato. L’austerità spirituale e figurativa, in accordo con la filosofia del memento mori cistercense, è interrotta soltanto dalla cappella di San Lorenzo, Affrescata nel 1586-89 dal pittore Niccolò Circignani detto il Pomarancio su commissione del cardinale Enrico Caetani e del duca Onorato IV. Questo ciclo di affreschi fu realizzato in occasione della visita di papa Sisto V nel ducato Caetani. All'interno della cappella vi sono molti cenni autocelebrativi riferiti al titolo ducale che nel 1586 fu concesso proprio a Onorato IV. Infatti vi sono presenti moltissime corone ducali sorrette da puttini. Interessantissimo l'autoritratto del Pomarancio che la studiosa Sonia Testa ha scoperto fra la decorazione a grottesche della volta, in prossimità delle due vele con l'episodio in cui San Lorenzo opera la conversione di Lucilio, e quella con l'episodio in cui San Lorenzo battezza in carcere San Romano. Sopra il portone d'ingresso si può notare un rosone";;immagini/valvisciolo_interno.webp;Dettaglio;;;
Velletri_dintorni;5,4,1,2;Opera;5,4,1;Chiostro;;"A Valvisciolo, i Cistercensi edificarono anche il chiostro, vero fulcro della vita monastica che dava accesso a tutti gli ambienti dell’abbazia, come il refettorio, il dormitorio e la sala capitolare. Il chiostro, di forma quadrata, è composto da quattro corridoi coperti da volte a crociera, che racchiudono un cortile centrale provvisto di pozzo. Le gallerie si aprono per mezzo di bifore con colonnine binate in travertino, che sorreggono graziosi capitelli scolpiti con decorazioni fitomorfe.
Attraverso la ripetizione geometrica del quadrato, il chiostro era immagine di tutto il creato: quattro sono le stagioni e i punti cardinali, quattro sono gli elementi fondamentali che compongono il cosmo. D’altronde, lo spazio sacro riproduceva l’essenza stessa dell’universo, attraverso l’acqua del suo pozzo, la terra da coltivare, l’aria e il fuoco della preghiera. Lungo i corridoi del chiostro si contano, infatti, centododici colonne, rimando al creato e all’umanità intera: dodici erano le tribù d’Israele, gli apostoli e le porte della Gerusalemme celeste.
I capitelli, di eccezionale fattura artistica, rivelano una particolare commistione stilistica tra il classicismo, il gotico cistercense e la tradizione degli artisti locali. I magistri scultori si dilettarono a comporre volute ioniche e un particolare motivo detto a foglia d’acqua. Tra le volute di un altro capitello si può osservare, invece, una piccola incisione a forma di calice, rimando alla coppa da cui Cristo bevve durante l’Ultima Cena. Nella tradizione cristiana, questa preziosa reliquia, chiamata Santo Graal, sarebbe stata poi utilizzata da Giuseppe d’Arimatea per raccogliere il sangue del Salvatore giacente sulla croce.
Sul muretto del chiostro di Valvisciolo si trova anche l’incisione della Triplice Cinta, un simbolo molto diffuso nei luoghi templari e cistercensi. Tale schema, formato da tre quadrati concentrici uniti da segmenti ortogonali, era usato sin dall’antichità come tavoliere per il gioco del filetto. Secondo il principio di analogia tra microcosmo e macrocosmo, la Triplice Cinta, con le sue proporzioni perfette, racchiudeva l’armonia del creato.
Sullo stesso intonaco intaccato dal trascorrere del tempo, si leggono a fatica anche le parole “sator arepo tenet opera rotas“ (“Il seminatore, con l’aratro, tiene con cura le ruote), che compongono la celebre frase palindroma del Quadrato del Sator. Nel Medioevo, epoca in cui si credeva che tale iscrizione possedesse un carattere sacro o apotropaico. Nel chiostro del monastero di Sermoneta, tuttavia, il Sator non si trova sotto forma di quadrato magico ma, in via del tutto eccezionale, ad anelli concentrici, suddivisi in spicchi.";;immagini/valvisciolo_chiostro.webp;Dettaglio;;;
Velletri_dintorni;5,5;Paese;5;Sermoneta;;"Una piacevole passeggiata medievale sale tra case di pietra, scale, vicoli
acciottolati e piazzette fino al grande castello che corona questo borgo (m 257,
ab. 10 000 circa), arroccato su un colle di ulivi e cinto da mura turrite. L’integro
centro storico e la qualità dell’offerta gastronomica e culturale sono premiate
dalla Bandiera Arancione del Touring Club Italiano. A costruire la rocca all’inizio
del XIII secolo furono gli Annibaldi;  la potente famiglia dei Caetani l’acquistò nel
1297 e ne rientrò in possesso, dopo una parentesi dei Borgia, alla morte di
Alessandro VI nel 1503; nel 1798 i francesi la presero portando via 36 cannoni.";;immagini/sermoneta_panorama.webp;Principale;41,55;12,9837;mappe-offline/Velletri_dintorni
Velletri_dintorni;INF5,5;Info / Contatto;5,5;Sermoneta;;"📍 Indirizzo:piazza del Comune<br>📞 Tel.   340.2487242 <br>🕒 Orari:dal martedì alla domenica, dalle ore 9.00 alle ore 12.00 e dalle ore 15.00 alle ore 17.00<br>🌐 Sito web:https://www.comunedisermoneta.it/c059027/zf/index.php/servizi-aggiuntivi/index/index/idtesto/123
Ingresso libero     ";;;Info / Contatto;;;
Velletri_dintorni;5,5,1;Monumento;5,5;Castello Caetani;Il Castello Caetani è visitabile solo con visite guidate che partono ogni mezz'ora. Il biglietto costa €8 (acquistabile online sul sito della Fondazione Roffredo Caetani);"Le origini del castello risalgono al XIII secolo, quando i baroni Annibaldi costruirono il Maschio, una torre alta 42 metri che ancora oggi svetta imponente. Nel 1297 Pietro Caetani acquistò Sermoneta per 140 mila fiorini d'oro, dando inizio al lungo dominio della famiglia. I Caetani trasformarono la rocca militare in un raffinato castello residenziale, aggiungendo le famose Camere Pinte, stanze affrescate con scene mitologiche e allegoriche che risalgono al 1470.

Nel 1499 papa Alessandro VI Borgia scomunicò i Caetani e si appropriò del castello, trasformandolo in una fortezza militare. Ma il legame tra Sermoneta e i Caetani era troppo forte: nel 1504 il castello tornò alla famiglia, che lo conserva ancora oggi attraverso la Fondazione Roffredo Caetani.
La visita guidata al Castello Caetani dura circa un'ora e ti porta alla scoperta di ambienti straordinari. Attraverserai Piazza d'Armi, il grande cortile dominato dal Maschio, poi entrerai nella Casa del Cardinale, l'unico edificio abitativo fatto costruire dai Borgia all'interno del castello. Qui ammirerai arredi d'epoca e affreschi provenienti da Ninfa.

Nelle Camere Pinte potrai ammirare gli affreschi quattrocenteschi con scene mitologiche, mentre nella Sala del Cardinale è custodita la Madonna con il Bambino dipinta nel 1541 da Girolamo Siciolante, detto Il Sermoneta. Infine, non perdere la passeggiata sui camminamenti di ronda: da qui la vista sulla pianura Pontina è davvero spettacolare.";;immagini/sermoneta_castello.webp;Dettaglio;;;
Velletri_dintorni;5,5,2;Monumento;5,5;Cattedrale;;"Sorta nel XIII secolo sui resti di un tempio di Cibele, conserva in parte
le forme gotico-cistercensi: splendido il campanile* a cinque piani di bifore,
ornato da scodelle in maiolica. Nell’interno sono custoditi resti di affreschi
quattro-cinquecenteschi, due antiche acquasantiere – una medievale, l’altra
rinascimentale – e, sopra l’altare maggiore con baldacchino barocco, un Crocifisso
ligneo seicentesco. Nella 1a cappella destra si ammira la Madonna degli angeli*
di Benozzo Gozzoli, realizzata nel 1456 dopo la peste che colpì la popolazione: la
tavola raffigura una delicatissima Vergine circondata da angeli, che regge sulle
ginocchia un modellino della città.";;immagini/sermoneta_cattedrale.webp;Dettaglio;;;
Velletri_dintorni;5,5,3;Monumento;5,5;Chiesa san Giuseppe;;"La facciata si distingue per uno stile essenziale. È caratterizzata da un ordine gigante binato di paraste doriche che conferiscono slancio verticale alla struttura. Una doppia trabeazione introduce un ordine minore superiore con angoli lunettati.
L'interno è a navata unica, coperto da due volte a crociera decorate a fresco e stucchi. Presenta tre cappelle per ogni lato realizzate come nicchie ad arco nella muratura.
Il chiostro del convento è uno dei luoghi più suggestivi di Sermoneta. Con le sue arcate silenziose e il giardino interno, offre un momento di quiete lontano dalla frenesia. Da qui la vista si apre sulla pianura Pontina in uno scenario che invita alla contemplazione";;immagini/sermoneta_giuseppe.webp;Dettaglio;;;
Velletri_dintorni;5,5,3,1;Opera;5,5,3;Cappela Caetani;;"Commissionata nel 1550 da Bonifacio I Caetani, al pittore Girolamo Siciolante da Sermoneta. A sottolinearne la committenza vi è lo stemma della famiglia sorretto da due putti. Lo studioso Hunter sottolinea come il 1550 sia un periodo molto propizio e di forte ascesa politico economica per la famiglia Caetani. Bonifacio I infatti entrò al servizio del re di Francia, Enrico II, con il grado di capitano.

Iconografia: La calotta è divisa in nove comparti e raffigura la Vergine Assunta, scene della Genesi e della Passione di Gesù.
Dettagli: Il catino absidale ospita una Sacra Famiglia, San Girolamo e San Bonaventura. Sono presenti inoltre raffigurazioni a grottesche ed erme femminili.
Interpretazione: Secondo la studiosa Sonia Testa, il ciclo della decorazione esterna con l'arco trionfale, celebra la fertilità per la nascita di Enrico Caetani, con riferimenti a Caterina Pio di Savoia e a Artemite Efesina. Inoltre vi sono raffigurati il profeta Ezechiele e la Sibilla Cumana.";;immagini/sermoneta_caetani.webp;Dettaglio;;;
Velletri_dintorni;5,5,4;Monumento;5,5;Chiesa san Michele Arcangelo;;"L'esterno è caratterizzato da un portico che immette nella navata centrale;  architettonicamente, questo elemento presenta analogie con il portico della Chiesa di Santa Maria Assunta in cielo.

L'interno della chiesa si presenta con una pianta piuttosto irregolare, suddivisa in tre navate. La navata centrale termina con un coro rettangolare, dove originariamente era collocato l'altare maggiore. A sinistra vi è l'altare di Santa Lucia a cui si succedono le cappelle di S. Antonio, di S. Girolamo, della SS. Concezione di Maria e nell'altro lato la cappella di S. Giacomo.";;immagini/sermoneta_arcangelo.webp;Dettaglio;;;
Velletri_dintorni;5,5,4,1;Opera;5,5,4;Oratorio dei Battenti;;"Sul lato destro della chiesa si trova una porta che permette l'accesso all'Oratorio dei Battenti. Questo luogo era la sede dell'antica confraternita di flagellanti, nota appunto come i ""Battenti"", che giocò un ruolo significativo nella vita religiosa e sociale di Sermoneta.

Nel primo ambiente vi sono affreschi sovrapposti di varie epoche. Risalta nella parete di fondo l'affresco raffigurante Santa Lucia con un devoto (prima metà del XV secolo).

Durante l'ultimo restauro è emerso nel secondo ambiente il suggestivo affresco raffigurante la Crocifssione. ";;immagini/sermoneta_battenti.webp;Dettaglio;;;
Velletri_dintorni;5,5,5;Monumento;5,5;Loggia dei Mercanti;;"La Loggia dei Mercanti fu costruita nel 1446 per ordine di Onorato III Caetani, per essere adibita come sede del Comune, degli scambi commerciali e delle assemblee popolari. La loggia, che fu realizzata in un periodo durante il quale Sermoneta stava attraversando un grande sviluppo, diventò pian piano il centro dell’attività commerciale: molti dei suoi magazzini, infatti, erano adibiti a botteghe;  sotto le arcate si aprivano invece le porte delle stalle. Dal punto di vista tecnico l’edificio presenta ariose arcate a tutto sesto che seguono il canone quattrocentesco mentre nell’accesso è ancora ravvisabile il canone gotico.
Oggi la Loggia, oltre a essere location di matrimoni civili, è spesso utilizzata per le riprese cinematografiche, visto il suo aspetto incontaminato.";;immagini/sermoneta_mercanti.webp;Dettaglio;;;
Velletri_dintorni;5,6;Paese;5;Abbazia Fossanova;;Dichiarata “Monumento Nazionale” nel 1874, l’Abbazia di Fossanova costituisce il più antico esempio d’arte gotico-cistercense in Italia. Assieme all’Abbazia di Casamari (presso Veroli), una delle sue più alte espressioni. Il complesso nacque alla fine del XII secolo dalla trasformazione di un preesistente monastero benedettino, forse risalente al VI secolo, di cui rimane una flebile traccia al disopra del rosone della chiesa.;;immagini/fossanova_abbazia.webp;Principale;41,438775;13,196661;mappe-offline/Velletri_dintorni
Velletri_dintorni;INF5,6;Info / Contatto;5,6;Abbazia Fossanova;;📍 Indirizzo:Via San Tommaso d’Aquino, 1<br>📞 Tel.   3802562809 <br>🕒 orario: 8:30–18:30<br>🌐 Sito web:https://www.abbaziadifossanova.it/ive/;;;Info / Contatto;;;
Velletri_dintorni;5,6,1;Monumento;5,6;Chiesa Abbaziale;;"La chiesa si presenta di una spettacolare e severa grandiosità;  la facciata (che doveva essere preceduta da un portico) è semplice ma maestosa, con portale fortemente strombato. Il portale è poi costituito da un arco a sesto acuto nella cui lunetta è ripreso il motivo del rosone, mentre nella parte inferiore, un mosaico cosmatesco sostituisce un'iscrizione dedicata a Federico Barbarossa.

Al di sopra del portale riccamente decorato, la facciata è adornata da un grande rosone. Originariamente, esso era più piccolo: di questa precedente versione resta una traccia che sembra coronare l'attuale. Ventiquattro colonnine binate, sui cui capitelli si impostano archetti a sesto acuto, funzionano da armatura della vetrata intermessa. L'oculus ottagonale al centro del frontone è un rifacimento di uno originario che doveva essere simile a quello dell'abside. La possanza della facciata è accentuata dall'esposizione dei poderosi contrafforti.";;immagini/fossanova_chiesa.webp;Dettaglio;;;
Velletri_dintorni;5,6,1,1;Opera;5,6,1;Interno;;"La struttura della chiesa, costruita interamente in travertino, è basilicale. Ha pianta cruciforme;  il braccio longitudinale, che si sviluppa secondo un asse mediano ed è diviso in tre navate, è attraversato perpendicolarmente dal transetto. La lunghezza della navata centrale è scandita nella prima parte da sette campate rettangolari, termina nel presbiterio e nell'abside che formano un unico corpo rettangolare. Il sistema dei sostegni è formato da massicci pilastri rettangolari. Le arcate che conducono dalla navata mediana a quelle laterali sono rette da semicolonne. Altre semicolonne pensili (cioè poste su una mensola a distanza dal suolo) salgono a portare gli archi trasversi della navata centrale.

Dal centro del transetto si erge il tiburio a pianta ottagonale, elevato di due piani e sormontato dalla lanterna, che sostituiva il campanile. Le campane si suonavano nel sito del coro con funi che pendevano davanti all'altare maggiore. Nei due bracci, invece, sono ricavate quattro cappelline: dalle due alla sinistra dell'altare scende la scala con la quale i monaci dal dormitorio passavano direttamente in chiesa. Una cornice di semplice fattura, tipicamente borgognona, corre lungo i due lati della navata centrale a spezzare il verticalismo dell'ambiente. È all'inizio del XXI secolo che viene ultimato il restauro del pavimento della basilica.";;immagini/fossanova_interno.webp;Dettaglio;;;
Velletri_dintorni;5,6,2;Monumento;5,6;Chiostro;;"Il complesso cistercense segue nell'impianto spaziale le regole tradizionali dell'architettura monastica: al centro, dal chiostro si accede a tutti gli altri locali ed intorno alle dipendenze abbaziali necessarie al sostentamento dei monaci: laboratori, magazzini, stalle, ecc. L'intero centro era, poi, delimitato da alte mura delle quali rimane la porta d'ingresso.

Nel chiostro ritroviamo la stessa semplicità di forme della chiesa, se si eccettua il lato meridionale che appartiene senza dubbio ad una costruzione assai più tarda. Le arcatelle a tutto sesto si snodano da colonnine doppie lisce e le gallerie sono coperte da volte a botte. Ai tre lati di stile romanico si contrappone quello costruito a sud in stile gotico: arcatelle di sezione acuta, colonnine abbinate di forme differenti e assai complesse che però non contrastano con le forme degli altri tre lati nonostante la semplicità di questi ultimi. Ben conservata è pure la fontana del chiostro (lavabo) costruita nel XIII secolo di fronte al refettorio.";;immagini/fossanova_chiostro.webp;Dettaglio;;;
Velletri_dintorni;5,6,3;Monumento;5,6;Sala capitolare;;La sala capitolare a due navate divise in sei campate è coperta da volte a crociera costolonata e sostenuta da due pilastri cosiddetti fascicolari, perché formati da un fascio di colonnine. La sala, databile al XIII secolo, è anch'essa di chiaro stile gotico. Tutti i particolari decorativi sono di una grande eleganza di forme.;;immagini/fossanova_capitolare.webp;Dettaglio;;;
Velletri_dintorni;5,6,4;Monumento;5,6;Refettorio;;Nel refettorio, molto vasto e posto perpendicolarmente rispetto al chiostro secondo la regula, è conservato ancora integro il pulpito di lettura con la relativa scala. Quest'ambiente, di pianta rettangolare, è coperto da un soffitto in legno i cui due spioventi poggiano su cinque grandi archi a sesto acuto, di profilo quadrato, mentre tredici finestre (di cui cinque murate) davano luce alla grande sala.;;immagini/fossanova_refettorio.webp;Dettaglio;;;
Velletri_dintorni;5,6,5;Monumento;5,6;Infermeria;;Staccata dall'insieme di stabili che orbitano intorno al chiostro, si trova l'infermeria dei monaci coristi. Al secondo piano si trova la cella dove morì san Tommaso, ora trasformata in cappella: sull'altare, rifatto dall'abate commendatario cardinale Francesco Barberini, si trova un bassorilievo raffigurante la morte del santo così come ce la tramanda la sua biografia, mentre sta spiegando il Cantico dei cantici ai monaci. Ancora oggi in chiesa se ne conserva la semplice tomba vuota (il corpo fu trasferito dai domenicani a Tolosa alla fine del XIV secolo) composta da una lastra di marmo o travertino rettangolare. ;;immagini/fossanova_infermeria.webp;Dettaglio;;;
Velletri_dintorni;5,7 ritorno;Paese;5;Borgo Bainsizza;;;;;Principale;41,48192;12,79314;mappe-offline/Velletri_dintorni
Ciociaria;6;Percorso;;Ciociaria;;;itinerari/ciociaria-2.jpg, itinerari/ciociaria-3.jpg;;Principale;;;
Ciociaria;6partenza;Paese;6;Borgo Bainsizza;;;;;Principale;41,48192;12,79314;mappe-offline/Ciociaria
Ciociaria;6,1;Paese;6;Ferentino;;"Posta su un colle a dominio del corso del fiume Sacco, la cittadina (m 395, ab. 20
000 circa) di origine volsca fu conquistata dagli èrnici, che costruirono la cinta
muraria dell’acropoli, e a cavallo tra II e I secolo a.C. dai romani. In età imperiale
fu centro di villeggiatura, con ville e un teatro. Nel medioevo raggiunse la
massima importanza come sede di un legato pontificio e, fino a metà ’500, fu la
capitale politicoamministrativa del Lazio meridionale. Conserva all’interno della
intatta cerchia di mura ciclopiche un ricco patrimonio storico e artistico raccolto
sulla cima del colle e nascosto dalla moderna espansione edilizia, iniziata negli
anni Sessanta del ’900 con il processo di industrializzazione del territorio.";;immagini/ferentino_panorama.webp;Principale;41,691763;13,255952;mappe-offline/Ciociaria
Ciociaria;INF6,1;Info / Contatto;6,1;Ferentino;;📍 Indirizzo:Piazza Giacomo Matteotti 17<br>📞 Tel.  0775 24820<br>🕒 Orari<br>🌐 Sito web:https://www.comune.ferentino.fr.it/it/topics/turismo/7   ;;;Info / Contatto;;;
